id,level,category,subcategory,question,options,correct_answer,explanation,source
56,PARAMEDIC,Cardiac,Cardiac/Respiratory,Unstable tachycardia with a pulse is treated with:,"[""CPR"", ""Synchronized cardioversion"", ""Defibrillation"", ""Observation""]",1,"Unstable tachycardia (hypotension, altered LOC, chest pain) requires synchronized cardioversion.",SNHD Protocols - Tachycardia
57,PARAMEDIC,Cardiac,Cardiac/Respiratory,STEMI is defined by ST elevation of:,"["">0.5 mm"", "">1 mm in limb leads, >2 mm in precordial leads"", "">3 mm anywhere"", ""Any ST elevation""]",1,STEMI: >1 mm ST elevation in limb leads or >2 mm in precordial leads (V1-V6).,SNHD Protocols - STEMI
58,EMT,Cardiac,Cardiac/Respiratory,Aspirin for chest pain should be given:,"[""Only if 12-lead shows MI"", ""To all patients with suspected ACS"", ""Only if hypertensive"", ""Never by EMTs""]",1,Aspirin 324 mg chewable is given to all suspected ACS patients without allergy.,SNHD Protocols - Chest Pain
59,PARAMEDIC,Cardiac,Cardiac/Respiratory,Nitroglycerin should NOT be given if:,"[""HR >100"", ""SBP <90 or used PDE5 inhibitor"", ""Patient is anxious"", ""Pain is severe""]",1,"Nitroglycerin contraindicated if SBP <90, HR <50 or >100, or PDE5 inhibitor use.",SNHD Protocols - ACS
60,EMT,Respiratory,Assessment,Signs of respiratory distress include:,"[""Normal breathing"", ""Accessory muscle use, tripod positioning"", ""Bradypnea"", ""Sleepiness""]",1,"Accessory muscle use, tripod position, retractions indicate respiratory distress.",SNHD Protocols - Respiratory
61,EMT,Respiratory,Cardiac/Respiratory,Status asthmaticus is defined as:,"[""Mild wheezing"", ""Asthma not responding to initial treatment"", ""No wheezing"", ""Normal SpO2""]",1,Status asthmaticus is severe asthma not responding to initial bronchodilator therapy.,SNHD Protocols - Asthma
62,EMT,Respiratory,Cardiac/Respiratory,COPD patients often have baseline:,"[""High SpO2"", ""Low SpO2 (88-92% acceptable)"", ""Normal CO2"", ""Alkalosis""]",1,COPD patients may have baseline SpO2 88-92% due to chronic CO2 retention.,SNHD Protocols - COPD
63,PARAMEDIC,Respiratory,Assessment,Signs of impending respiratory failure include:,"[""Improved SpO2 with O2"", ""Altered mental status, fatigue, bradypnea"", ""Increased wheezing"", ""Tachycardia only""]",1,"Altered mental status, fatigue, bradypnea indicate respiratory failure requiring airway support.",SNHD Protocols - Respiratory Failure
64,EMT,Pediatric,Assessment,Pediatric vital signs differ from adults. Normal pediatric HR is:,"[""60-100 for all ages"", ""Faster than adults, varies by age"", ""Slower than adults"", ""Always >150""]",1,"Pediatric heart rates are faster and vary by age (infants 100-160, toddlers 90-150, etc.).",SNHD Protocols - Pediatric Vitals
65,EMT,Pediatric,Cardiac/Respiratory,Pediatric airway positioning for infants requires:,"[""Head hyperextension"", ""Neutral position (towel under shoulders)"", ""Chin to chest"", ""Lateral position""]",1,Infants need neutral position with towel under shoulders due to large occiput.,SNHD Protocols - Pediatric Airway
66,EMT,Pediatric,Assessment,Febrile seizure is most common in ages:,"[""0-3 months"", ""6 months - 5 years"", ""5-10 years"", ""All ages equally""]",1,Febrile seizures most common in children 6 months to 5 years old.,SNHD Protocols - Pediatric Seizures
67,AEMT,Pediatric,Medications,Pediatric epinephrine for anaphylaxis is dosed at:,"[""0.01 mg/kg IM (max 0.3 mg)"", ""0.3 mg IM fixed dose"", ""0.5 mg IM"", ""1 mg IM""]",0,Pediatric epinephrine: 0.01 mg/kg IM (max 0.3 mg) using 1:1000 concentration.,SNHD Protocols - Pediatric Anaphylaxis
68,EMT,Pediatric,Trauma/Emergencies,Pediatric trauma patients are at higher risk for:,"[""Hypertension"", ""Hypovolemic shock (large body surface area)"", ""Bradycardia"", ""Hyperthermia""]",1,Children have larger body surface area to volume ratio and decompensate quickly.,SNHD Protocols - Pediatric Trauma
69,EMT,Obstetric,OB/Neonatal,Signs of imminent delivery include:,"[""Contractions 10 minutes apart"", ""Crowning, urge to push, contractions <2 min apart"", ""No contractions"", ""Mild cramping""]",1,"Crowning, urge to push, and frequent contractions indicate imminent delivery.",SNHD Protocols - Childbirth
70,EMT,Obstetric,OB/Neonatal,Shoulder dystocia is managed by:,"[""Immediate transport"", ""McRoberts maneuver (knees to chest)"", ""Fundal pressure"", ""Pulling harder on baby""]",1,McRoberts maneuver (hyperflex maternal thighs) is first-line for shoulder dystocia.,SNHD Protocols - Shoulder Dystocia
71,EMT,Obstetric,OB/Neonatal,Postpartum hemorrhage is defined as blood loss >:,"[""100 mL"", ""500 mL (vaginal) or 1000 mL (C-section)"", ""250 mL"", ""2000 mL""]",1,PPH: >500 mL after vaginal delivery or >1000 mL after C-section.,SNHD Protocols - Postpartum Hemorrhage
72,EMT,Obstetric,Trauma/Emergencies,Eclampsia is characterized by:,"[""High blood pressure only"", ""Seizures in pregnancy/postpartum"", ""Low blood pressure"", ""Normal delivery""]",1,"Eclampsia is new-onset seizures in pregnancy or postpartum, usually with hypertension.",SNHD Protocols - Eclampsia
73,EMT,Environmental,Environmental,Heat exhaustion vs heat stroke - key difference is:,"[""Temperature only"", ""Altered mental status in heat stroke"", ""Sweating"", ""Heart rate""]",1,Heat stroke has altered mental status + temp >104°F; heat exhaustion has normal mentation.,SNHD Protocols - Heat Emergencies
74,EMT,Environmental,Environmental,Severe hypothermia is core temp below:,"[""95\u00b0F (35\u00b0C)"", ""90\u00b0F (32\u00b0C)"", ""86\u00b0F (30\u00b0C)"", ""98.6\u00b0F""]",1,Severe hypothermia is core temp <90°F (32°C) - may present as pulseless.,SNHD Protocols - Hypothermia
75,EMT,Environmental,Trauma/Emergencies,Priority in drowning is:,"[""Immediate CPR regardless"", ""Airway and breathing assessment"", ""Spinal immobilization"", ""Transport only""]",1,Assess ABCs first - not all drowning victims need immediate CPR if breathing.,SNHD Protocols - Drowning
76,EMT,Environmental,Environmental,High altitude illness symptoms include:,"[""Only headache"", ""HAPE and HACE"", ""Increased appetite"", ""Hypothermia only""]",1,High altitude illness includes HAPE (pulmonary edema) and HACE (cerebral edema).,SNHD Protocols - Altitude
77,EMT,Behavioral,Assessment,First priority in behavioral emergency is:,"[""Immediate sedation"", ""Scene safety"", ""Psychiatric diagnosis"", ""Physical restraint""]",1,Scene safety for crew and patient is always the first priority.,SNHD Protocols - Behavioral
78,EMT,Behavioral,Trauma/Emergencies,Restraint should be:,"[""Prone position"", ""Minimum necessary, supine or lateral"", ""Tied tightly"", ""Ignored""]",1,"Use minimum necessary restraint, avoid prone position, monitor closely.",SNHD Protocols - Restraint
79,EMT,Behavioral,Trauma/Emergencies,Patient with suicide attempt requires:,"[""Police only"", ""Emergency transport to ED for evaluation"", ""Family to watch"", ""Promise not to do it again""]",1,All suicide attempts/ideation require emergency transport for professional evaluation.,SNHD Protocols - Suicide
80,EMT,Pediatric,Fluid Boluses,"For a 20 kg child in hypovolemic shock, what is the correct fluid bolus?","[""200 mL"", ""400 mL"", ""600 mL"", ""1000 mL""]",1,20 kg × 20 mL/kg = 400 mL. Pediatric bolus is always 20 mL/kg.,SNHD Protocols - Pediatric Fluids
81,EMT,Pediatric,Fluid Boluses,Maximum number of fluid boluses recommended before reassessment in pediatrics:,"[""1 bolus"", ""2 boluses (40 mL/kg total)"", ""3 boluses"", ""Unlimited until BP normalizes""]",1,Maximum 2 boluses (40 mL/kg total) before reassessment. Consider other interventions if still unstable.,SNHD Protocols - Pediatric Shock
82,EMT,Pediatric,Fluid Boluses,A 35 kg pediatric patient should receive a maximum single bolus of:,"[""700 mL (35 kg \u00d7 20)"", ""1000 mL"", ""500 mL"", ""1500 mL""]",1,"Calculated amount is 700 mL, but maximum single bolus is capped at 1000 mL.",SNHD Protocols - Pediatric Fluid Limits
83,AEMT,Pediatric,Fluid Boluses,Fluid bolus is contraindicated in pediatric patients with:,"[""Fever"", ""Respiratory distress with rales/crackles"", ""Normal vitals"", ""Minor trauma""]",1,"Fluid bolus contraindicated in suspected CHF, pulmonary edema, or respiratory distress with fluid overload signs.",SNHD Protocols - Pediatric Contraindications
84,AEMT,Pediatric,Fluid Boluses,"For pediatric DKA (Diabetic Ketoacidosis), fluid resuscitation should be:","[""Rapid bolus to correct shock quickly"", ""Cautious - risk of cerebral edema"", ""Not given until glucose normalized"", ""Hypertonic saline""]",1,DKA requires cautious fluid resuscitation due to risk of cerebral edema. Follow specific DKA protocols.,SNHD Protocols - Pediatric DKA
85,EMT,Pediatric,Fluid Boluses,A neonate (under 28 days) in shock receives fluid bolus of:,"[""20 mL/kg"", ""10 mL/kg"", ""30 mL/kg"", ""40 mL/kg""]",1,Neonates receive 10 mL/kg boluses due to risk of fluid overload and heart strain.,SNHD Protocols - Neonatal Resuscitation
86,AEMT,Pediatric,Fluid Boluses,Signs of fluid overload in pediatric patients include:,"[""Tachycardia only"", ""Hepatomegaly, JVD, rales, decreased responsiveness"", ""Fever"", ""Increased urine output""]",1,"Hepatomegaly (enlarged liver), JVD, pulmonary rales, and altered mental status indicate fluid overload.",SNHD Protocols - Pediatric Complications
87,EMT,Pediatric,Fluid Boluses,"For a 6-year-old (22 kg) with suspected sepsis and normal perfusion, initial fluid is:","[""No fluids"", ""20 mL/kg bolus over 20 minutes"", ""Maintenance only"", ""D5W bolus""]",1,"Pediatric sepsis: 20 mL/kg isotonic crystalloid bolus, reassess perfusion after each bolus.",SNHD Protocols - Pediatric Sepsis
88,AEMT,Pediatric,Fluid Boluses,In pediatric trauma with suspected hemorrhage but no signs of shock:,"[""No fluids"", ""Aggressive fluid resuscitation"", ""Limited fluids, permissive hypotension"", ""Blood transfusion""]",2,"In pediatric trauma without shock, use limited fluids with permissive hypotension to avoid dilutional coagulopathy.",SNHD Protocols - Pediatric Trauma
89,PARAMEDIC,Pediatric,Fluid Boluses,Burn fluid resuscitation for a 15 kg child with 20% TBSA burns (Parkland formula):,"[""150 mL/hr"", ""300 mL/hr for first 8 hours"", ""600 mL total"", ""No fluids in field""]",1,"Parkland: 4 mL × kg × %TBSA = 1200 mL. Half in first 8 hours = 600 mL total, 75 mL/hr. First 8 hours from time of burn.",SNHD Protocols - Pediatric Burns
90,AEMT,Pediatric,Medications,Pediatric albuterol dosing via nebulizer is:,"[""0.15 mg/kg (min 2.5 mg, max 5 mg)"", ""2.5 mg fixed dose"", ""5 mg fixed dose"", ""0.5 mg/kg""]",0,"Pediatric albuterol: 0.15 mg/kg, minimum 2.5 mg, maximum 5 mg per treatment.",SNHD Protocols - Pediatric Asthma
91,EMT,Pediatric,Medications,A 3-year-old (14 kg) with anaphylaxis receives epinephrine at:,"[""0.14 mg IM (0.01 mg/kg)"", ""0.3 mg IM"", ""0.5 mg IM"", ""1 mg IM""]",0,Pediatric epinephrine: 0.01 mg/kg IM using 1:1000 concentration. 14 kg × 0.01 = 0.14 mg.,SNHD Protocols - Pediatric Anaphylaxis
92,AEMT,Pediatric,Medications,Maximum pediatric dose of epinephrine for anaphylaxis is:,"[""0.15 mg"", ""0.3 mg"", ""0.5 mg"", ""1 mg""]",1,"Maximum pediatric epinephrine dose is 0.3 mg IM (1:1000), even if calculated dose is higher.",SNHD Protocols - Pediatric Med Limits
93,PARAMEDIC,Pediatric,Medications,Pediatric midazolam (Versed) for seizures is dosed at:,"[""0.1 mg/kg IM/IN (max 5 mg)"", ""0.5 mg/kg IM"", ""5 mg fixed dose"", ""0.05 mg/kg IV only""]",0,"Pediatric midazolam: 0.1 mg/kg IM/IN, maximum 5 mg. Can repeat once in 5-10 minutes.",SNHD Protocols - Pediatric Seizures
94,PARAMEDIC,Pediatric,Medications,Pediatric naloxone for opioid overdose can be given:,"[""Only IV"", ""IV/IM/IN"", ""Only IN"", ""Contraindicated""]",1,Pediatric naloxone: 2 mg IN (1 mg each nostril) or 0.1 mg/kg IV/IM (max 2 mg).,SNHD Protocols - Pediatric Overdose
