id,level,category,subcategory,question,option_0,option_1,option_2,option_3,correct_answer,explanation,source
144,EMT,SNHD Protocols,Trauma Centers,"What level trauma center is St. Rose Siena?",Level 1,Level 2,Level 3,Pediatric Level 2,2,"St. Rose Dominican Hospital - Siena Campus is a Level 3 Trauma Center.",SNHD Protocols - Quizlet
145,EMT,SNHD Protocols,Carbon Monoxide,"Patients who have been exposed to carbon monoxide should be transported to what type of facility?",Trauma Center,Hyperbaric chamber capable facility,Psychiatric facility,Urgent care,1,"Patients with significant CO exposure should be transported to a facility with a hyperbaric chamber.",SNHD Protocols - Quizlet
146,EMT,SNHD Protocols,Psychiatric,"A psychiatric patient without a potentially life threatening illness may be transported to a Remote Outpatient Emergency Department",TRUE,FALSE,,,1,"Psychiatric patients are generally not appropriate for Remote Outpatient EDs due to lack of behavioral health resources.",SNHD Protocols - Quizlet
147,EMT,SNHD Protocols,Trauma,"A GCS below what level places a patient in Step 1 of the TFTC?",12,13,14,15,1,"A GCS of 13 or less places a patient in Step 1 (Physiologic) of the Trauma Field Triage Criteria.",SNHD Protocols - Quizlet
148,EMT,SNHD Protocols,OB,"Postpartum Eclampsia/Pre-eclampsia commonly presents how long after childbirth?",Up to 24 hours,Up to 48 hours,Up to 1 week,Up to 2 weeks,1,"While it can occur up to 6 weeks, it commonly presents within the first 48 hours postpartum.",SNHD Protocols - Quizlet
149,EMT,SNHD Protocols,Cardiac Arrest,"Identify the correct T's in the pneumonic H's and T's",Trauma/Tachycardia/Time/Temperature,Tension Pneumothorax/Tamponade/Toxins/Thrombosis,Tuberculosis/Tetanus/Tremors/Tumor,Thyroid/Thymus/Throat/Tongue,1,"The T's include Tension Pneumothorax, Tamponade (cardiac), Toxins, Thrombosis (pulmonary), and Thrombosis (coronary).",SNHD Protocols - Quizlet
150,EMT,SNHD Protocols,Burns,"Patients sustaining burn injuries shall be transported in accordance with what protocol?",Trauma Protocol,Burns Protocol,General Medical Protocol,Shock Protocol,1,"Burn patients should be transported in accordance with the Burns Protocol.",SNHD Protocols - Quizlet
151,EMT,SNHD Protocols,Trauma Transport,"The Sunrise Hospital catchment area is for all adult trauma calls and pediatric Step 3 trauma calls that meet the Trauma Field Triage Criteria Protocol",TRUE,FALSE,,,0,"Sunrise Hospital's catchment area includes all adult trauma and pediatric Step 3 trauma calls meeting criteria.",SNHD Protocols - Quizlet
152,EMT,SNHD Protocols,Trauma Transport,"Adult trauma calls that meet Step 1 or 2 of the Trauma Field Triage Criteria Protocol and occur in the geographical area bordered by Paradise road to the east... are to be transported to University Medical Center/Trauma",TRUE,FALSE,,,0,"This describes the specific catchment area for UMC Trauma (Level 1).",SNHD Protocols - Quizlet
153,EMT,SNHD Protocols,DNR,"A DNR or POLST order shall be validated by confirming the patient's name, age, condition of identification form",TRUE,FALSE,,,0,"Validation involves checking the patient's name, age/DOB, and the condition/validity of the form.",SNHD Protocols - Quizlet
154,EMT,SNHD Protocols,Transport,"For patients outside a 50 mile radius from protocol designated transport destinations, where shall the provider transport the patient to?",Trauma center regardless of distance,The nearest appropriate facility,Wait for helicopter,Base hospital,1,"If outside a 50-mile radius, transport to the nearest appropriate facility.",SNHD Protocols - Quizlet
155,EMT,SNHD Protocols,Protocols,"What is the purpose of the protocol manual?",To serve as a suggestion,To replace medical school,Provide guidance to all prehospital care providers/physicians in Clark County,To limit liability,2,"The manual provides guidance to all prehospital providers and ED physicians within the Clark County EMS System.",SNHD Protocols - Quizlet
156,EMT,SNHD Protocols,Protocols,"What are the protocols considered?",Laws,Suggestions,Guidelines,Orders,2,"Protocols are considered guidelines for patient care.",SNHD Protocols - Quizlet
157,EMT,SNHD Protocols,Cardiac Arrest,"What is recommended if hypoxia is the cause of the cardiac arrest?",Early defibrillation,Early ventilation,Early epinephrine,Early transport,1,"If hypoxia is the cause, early ventilation is recommended.",SNHD Protocols - Quizlet
158,EMT,SNHD Protocols,Cold Injury,"Localized cold injuries should be rubbed to warm the skin",TRUE,FALSE,,,1,"Rubbing cold injuries is contraindicated as it damages tissue.",SNHD Protocols - Quizlet
159,EMT,SNHD Protocols,Spinal Injury,"Patients placed on backboard for extrication or movement should not be moved to a soft mattress",TRUE,FALSE,,,1,"Patients should be moved to a soft mattress as soon as feasible to prevent pressure ulcers.",SNHD Protocols - Quizlet
160,EMT,SNHD Protocols,Neonatal,"Deep suctioning is recommended during neonatal resuscitation",TRUE,FALSE,,,1,"Deep suctioning is generally not recommended due to vagal stimulation risks.",SNHD Protocols - Quizlet
161,EMT,SNHD Protocols,Trauma Centers,"What level trauma center is UMC?",Level 1,Level 2,Level 3,Pediatric,0,"University Medical Center (UMC) is a Level 1 Trauma Center.",SNHD Protocols - Quizlet
162,EMT,SNHD Protocols,DNR,"Even if a patient indicates they wish to receive life-resuscitating treatment, the DNR/POLST Order or Identification shall be honored",TRUE,FALSE,,,1,"A patient's verbal request for treatment overrides a DNR/POLST order.",SNHD Protocols - Quizlet
163,EMT,SNHD Protocols,Burns,"Circumferential burns meets criteria to be transported to a burn center",TRUE,FALSE,,,0,"Circumferential burns are a specific criterion for transport to a burn center.",SNHD Protocols - Quizlet
164,EMT,SNHD Protocols,Burns,"A patient with burns that involve the face, hands, feet, genitalia, perineum, or major joints meets criteria to be transported to a burn center",TRUE,FALSE,,,0,"Burns to these critical areas require burn center care.",SNHD Protocols - Quizlet
165,EMT,SNHD Protocols,Cardiac Arrest,"For cardiac arrest patients who are pregnant, manual CPR is recommended",TRUE,FALSE,,,0,"Manual CPR is recommended for pregnant patients to accommodate uterine displacement.",SNHD Protocols - Quizlet
166,EMT,SNHD Protocols,Telemetry,"How shall contact with medical control be established?",By personal phone,By radio,By text message,By email,1,"Contact with medical control (telemetry) should be established by radio.",SNHD Protocols - Quizlet
167,EMT,SNHD Protocols,Burns,"Ice should be applied to burns",TRUE,FALSE,,,1,"Ice causes vasoconstriction and further tissue damage; do not apply to burns.",SNHD Protocols - Quizlet
168,EMT,SNHD Protocols,Telemetry,"Telemetry contact should be established by radio",TRUE,FALSE,,,0,"Radio is the standard method for establishing telemetry contact.",SNHD Protocols - Quizlet
169,EMT,SNHD Protocols,Monitoring,"Carefully monitor patients as you treat them; stable tachycardia may convert to unstable rhythms/condition quickly",TRUE,FALSE,,,0,"Stable tachycardia can deteriorate rapidly, requiring vigilance.",SNHD Protocols - Quizlet
170,EMT,SNHD Protocols,Drowning,"All drowning patients should be transported for evaluation because of the potential for worsening over the next several hours",TRUE,FALSE,,,0,"Drowning patients are at risk for delayed pulmonary edema and must be evaluated.",SNHD Protocols - Quizlet
171,EMT,SNHD Protocols,Burns,"How much does the head represent in an adult patient in the rule of 9's?",4.5%,9%,14%,18%,1,"The head represents 9% of the body surface area in an adult.",SNHD Protocols - Quizlet
172,EMT,SNHD Protocols,Tourniquet,"Where should the time of the tourniquet be written?",In the PCR only,Somewhere clearly visible on the patient (e.g. forehead/tourniquet),On the belt,On the stretcher sheet,1,"Tourniquet application time should be written somewhere clearly visible on the patient.",SNHD Protocols - Quizlet
173,EMT,SNHD Protocols,Resuscitation,"If there is any question regarding patient viability, to include potential hypothermia, resuscitation will be initiated",TRUE,FALSE,,,0,"Resuscitation should be initiated if viability is in question, especially in hypothermia cases.",SNHD Protocols - Quizlet
174,EMT,SNHD Protocols,OB,"During normal childbirth, what should happen if the amniotic sac is not already broken?",Wait for it to break naturally,Puncture the amniotic sac,Transport immediately,Push baby back,1,"If the amniotic sac has not broken and the head is delivering, it should be punctured.",SNHD Protocols - Quizlet
175,EMT,SNHD Protocols,CPR,"How deep are compressions in the infant victim?",1 inch,1.5 inches,2 inches,2.5 inches,1,"Compression depth for an infant is approximately 1.5 inches (4 cm).",SNHD Protocols - Quizlet
176,EMT,SNHD Protocols,CPR,"How deep are compressions in the child victim?",1.5 inches,2 inches,2.5 inches,3 inches,1,"Compression depth for a child is approximately 2 inches (5 cm).",SNHD Protocols - Quizlet
177,EMT,SNHD Protocols,DNR,"Faxed, copied, or electronic versions of the DNR identification/POLST are not legal and valid",TRUE,FALSE,,,1,"Copies, faxes, and electronic versions of valid DNR/POLST forms are considered legal and valid.",SNHD Protocols - Quizlet
178,EMT,SNHD Protocols,Burns,"Chemical burns meets criteria to be transported to a burn center",TRUE,FALSE,,,0,"Chemical burns are a criterion for burn center transport.",SNHD Protocols - Quizlet
179,EMT,SNHD Protocols,Resuscitation,"If there is any question regarding patient viability, to include potential hypothermia, resuscitation will be initiated",TRUE,FALSE,,,0,"Resuscitation is initiated if viability is unclear.",SNHD Protocols - Quizlet
180,EMT,SNHD Protocols,Medications,"Nitroglycerin should not be administered to any patient who has had Cialis in the past 48 hours",TRUE,FALSE,,,0,"Nitroglycerin is contraindicated if PDE5 inhibitors like Cialis have been taken within the last 48 hours.",SNHD Protocols - Quizlet
181,EMT,SNHD Protocols,Waiting Room,"A patient can be alert and oriented x 3 and be placed in the ER waiting room",TRUE,FALSE,,,0,"A patient must be GCS 15 (A&O x4/3 depending on scale used, implying fully alert) to be eligible for the waiting room.",SNHD Protocols - Quizlet
182,EMT,SNHD Protocols,Epistaxis,"It is very difficult to quantify the amount of blood loss with epistaxis",TRUE,FALSE,,,0,"Blood loss from nosebleeds is difficult to estimate due to swallowing and absorption.",SNHD Protocols - Quizlet
183,EMT,SNHD Protocols,Oxygen,"A patient with a pulse oximetry reading above what percentage may be placed in the ER waiting room?",90,92,94,98,2,"SpO2 must generally be >94% on room air for waiting room eligibility.",SNHD Protocols - Quizlet
184,EMT,SNHD Protocols,Trauma,"What kind of dressing should be applied to an abdominal evisceration?",Dry sterile dressing,Wet trauma dressing (sterile saline),Adhesive bandage,No dressing,1,"Abdominal eviscerations should be covered with a sterile dressing moistened with sterile saline.",SNHD Protocols - Quizlet
